 DlrZipToPmaId | ZipCd | DealerCd1 | DealerCd2 | DealerCd3 
38448|93410|CA388|CA01W|CA01Q
38449|93412|CA388|CA01W|CA01Q
38487|93461|CA388|CA01W|CA01Q
38490|93465|CA388|CA01W|CA01Q
38491|93475|CA388|CA01W|CA391
38492|93483|CA388|CA01W|CA391
38957|94599|CA01I|CA033|CA362
38934|94573|CA362|CA033|CA01I
38935|94574|CA362|CA033|CA01I
38923|94562|CA362|CA033|CA01I
38928|94567|CA362|CA033|CA01I
39340|95433|CA01I|CA033|CA341
39323|95416|CA01I|CA033|CA341
39513|95679|CA362|CA033|CA232
39475|95637|CA362|CA033|CA01I
39382|95487|CA01I|CA033|CA341
39445|95606|CA362|CA033|CA01I
39632|95939|CA129|CA033|CA232
39670|95979|CA129|CA033|CA362
40|00047|CA129|CA033|CA362
41|00048|CA129|CA033|CA362
39741|96074|CA129|CA033|CA232
39740|96073|CA129|CA102|OR041
39745|96079|CA129|CA102|OR041
39731|96062|CA129|CA102|OR041
39733|96064|OR041|CA102|CA129
39735|96067|OR041|CA102|CA129
39737|96069|CA129|CA102|OR041
39738|96070|CA129|CA102|OR041
39747|96084|CA129|CA102|OR041
39748|96085|OR041|CA102|CA129
39749|96086|OR041|CA102|OR030
39750|96087|CA129|CA102|OR041
39751|96088|CA129|CA102|CA232
39752|96089|CA129|CA102|OR041
39757|96094|OR041|CA102|CA129
39758|96095|CA129|CA102|OR041
39759|96096|CA129|CA102|OR041
39760|96097|OR041|CA102|CA129
39761|96099|CA129|CA102|OR041
39699|96022|CA129|CA102|CA232
39700|96023|OR041|CA102|OR036
39696|96019|CA129|CA102|OR041
39703|96027|OR041|CA102|CA129
39707|96032|OR041|CA102|CA129
39708|96033|CA129|CA102|OR041
39709|96034|OR041|CA102|CA129
39711|96037|OR041|CA102|CA129
39712|96038|OR041|CA102|CA129
39713|96039|OR041|CA102|OR030
39716|96044|OR041|CA102|CA129
39718|96047|CA129|CA102|OR041
39720|96049|CA129|CA102|OR041
39721|96050|OR041|CA102|CA129
39722|96051|CA129|CA102|OR041
39728|96058|OR041|CA102|CA129
40387|97415|OR041|CA102|OR030
40409|97444|OR041|CA102|OR030
40427|97464|OR041|CA102|OR030
40448|97491|OR041|CA102|OR030
40461|97520|OR041|CA102|OR030
40463|97523|OR041|CA102|OR030
40472|97533|OR041|CA102|OR030
40473|97534|OR041|CA102|OR030
40474|97535|OR041|CA102|OR030
40469|97530|OR041|CA102|OR030
40470|97531|OR041|CA102|OR030
40477|97538|OR041|CA102|OR030
40481|97543|OR041|CA102|OR030
40482|97544|OR041|CA102|OR030
40479|97540|OR041|CA102|OR030
29|00034|OR041|CA102|OR030
31|00037|CA129|CA102|CA033
39682|96001|CA129|CA102|OR041
39683|96002|CA129|CA102|OR041
39684|96003|CA129|CA102|OR041
39686|96007|CA129|CA102|CA232
39687|96008|CA129|CA102|OR041
39692|96014|OR041|CA102|CA129
39430|95567|OR041|CA102|OR030
39410|95543|OR041|CA102|OR030
39335|95428|CA129|CA102|CA033
39336|95429|CA129|CA102|CA033
39327|95420|CA033|CA102|CA129
39362|95460|CA033|CA102|CA129
39343|95437|CA033|CA102|CA129
38275|92880|CA300|CA121|CA197
38024|92334|CA01D|CA121|CA309
38025|92335|CA01D|CA121|CA309
38026|92336|CA01D|CA121|CA309
38042|92358|CA01D|CA121|CA253
38096|92514|CA197|CA121|CA300
38089|92504|CA197|CA121|CA300
37727|91763|CA01B|CA121|CA321
37731|91767|CA01B|CA121|CA321
37708|91739|CA01D|CA121|CA197
37690|91708|CA300|CA121|CA197
37693|91711|CA01B|CA121|CA321
39357|95454|CA102|CA129|CA033
39358|95456|CA033|CA129|CA102
39365|95463|CA033|CA129|CA01I
39366|95464|CA033|CA129|CA362
39371|95469|CA033|CA129|CA362
39372|95470|CA033|CA129|CA362
39378|95481|CA033|CA129|CA362
39379|95482|CA033|CA129|CA362
39380|95485|CA033|CA129|CA362
39324|95417|CA102|CA129|CA033
39325|95418|CA033|CA129|CA362
39320|95410|CA033|CA129|CA01I
39411|95545|CA102|CA129|CA033
39408|95540|CA102|CA129|OR041
39409|95542|CA102|CA129|CA033
39386|95493|CA033|CA129|CA362
39405|95536|CA102|CA129|OR041
39413|95547|CA102|CA129|OR041
39418|95552|CA102|CA129|CA033
39419|95553|CA102|CA129|CA033
39420|95554|CA102|CA129|CA033
39383|95488|CA102|CA129|CA033
39384|95490|CA033|CA129|CA362
39392|95511|CA102|CA129|CA033
39393|95514|CA102|CA129|CA033
39399|95526|CA102|CA129|OR041
39400|95527|CA102|CA129|OR041
39401|95528|CA102|CA129|OR041
39334|95427|CA033|CA129|CA01I
39429|95565|CA102|CA129|OR041
39423|95558|CA102|CA129|CA033
39424|95559|CA102|CA129|CA033
39425|95560|CA102|CA129|CA033
39426|95562|CA102|CA129|OR041
39436|95585|CA102|CA129|CA033
39437|95587|CA102|CA129|CA033
39438|95589|CA102|CA129|CA033
39439|95595|CA102|CA129|CA033
39432|95569|CA102|CA129|OR041
39434|95571|CA102|CA129|CA033
39693|96015|OR041|CA129|NV014
39695|96017|OR041|CA129|CA102
39689|96010|CA102|CA129|OR041
39673|95982|CA232|CA129|CA339
39649|95957|CA232|CA129|CA339
39637|95944|NV014|CA129|CA232
39614|95918|CA232|CA129|CA339
39617|95922|NV014|CA129|CA232
39629|95936|NV014|CA129|CA232
39643|95950|CA232|CA129|CA339
33|00039|CA102|CA129|CA033
30|00035|OR041|CA129|CA102
21|00022|CA033|CA129|CA102
57|00065|NV014|CA129|CA232
39723|96052|CA102|CA129|OR041
39719|96048|CA102|CA129|OR041
39717|96046|CA102|CA129|OR041
39715|96041|CA102|CA129|OR041
39701|96024|CA102|CA129|OR041
39702|96025|OR041|CA129|CA102
39762|96101|OR041|CA129|NV014
39754|96091|CA102|CA129|OR041
39764|96104|NV014|CA129|OR041
39756|96093|CA102|CA129|OR041
39768|96108|OR041|CA129|NV014
39743|96076|CA102|CA129|CA033
39727|96057|OR041|CA129|CA102
39770|96110|NV014|CA129|NV029
39774|96114|NV014|CA129|NV029
39779|96119|NV014|CA129|NV029
39783|96123|NV014|CA129|NV029
39777|96117|NV014|CA129|NV029
39787|96127|NV014|CA129|NV029
39788|96128|NV014|CA129|NV029
39791|96132|NV014|CA129|NV029
39793|96134|OR041|CA129|OR036
38104|92531|CA366|CA134|CA197
38105|92532|CA366|CA134|CA197
37945|92223|CA01U|CA134|CA309
37943|92220|CA01U|CA134|CA309
38127|92571|CA01U|CA134|CA197
38136|92589|CA366|CA134|CA379
38137|92590|CA366|CA134|CA379
38138|92591|CA366|CA134|CA379
38139|92592|CA366|CA134|CA379
38140|92593|CA366|CA134|CA379
38141|92595|CA366|CA134|CA01U
38132|92584|CA366|CA134|CA01U
38122|92562|CA366|CA134|CA01U
38123|92563|CA366|CA134|CA01U
38124|92564|CA366|CA134|CA01A
39309|95389|CA332|CA172|CA307
39237|95306|CA332|CA172|CA307
39246|95317|CA332|CA172|CA307
39247|95318|CA332|CA172|CA307
39260|95333|CA332|CA172|CA307
39265|95338|CA332|CA172|CA307
39270|95345|CA332|CA172|CA307
39287|95365|CA332|CA172|CA307
38556|93610|CA332|CA172|CA173
38567|93622|CA332|CA172|CA173
38562|93616|CA173|CA172|CA01Q
38565|93620|CA332|CA172|CA392
38591|93648|CA173|CA172|CA01Q
38595|93652|CA173|CA172|CA01Q
38596|93653|CA332|CA172|CA173
38604|93665|CA332|CA172|CA392
38570|93625|CA173|CA172|CA01Q
38572|93627|CA173|CA172|CA01Q
38601|93661|CA332|CA172|CA392
38634|93725|CA173|CA172|CA01Q
38640|93737|CA173|CA172|CA01Q
38617|93706|CA173|CA172|CA01Q
38644|93745|CA173|CA172|CA01Q
38652|93771|CA173|CA172|CA01Q
38653|93772|CA173|CA172|CA01Q
38654|93773|CA173|CA172|CA01Q
38655|93774|CA173|CA172|CA01Q
38656|93775|CA173|CA172|CA01Q
38657|93776|CA173|CA172|CA01Q
38658|93777|CA173|CA172|CA01Q
38659|93778|CA173|CA172|CA01Q
38660|93779|CA173|CA172|CA01Q
38661|93786|CA173|CA172|CA01Q
37023|89047|CA01J|CA172|CA173
51|00058|CA332|CA172|CA173
17|00017|CA172|CA173|CA01J
38662|93790|CA172|CA173|CA01Q
38663|93791|CA172|CA173|CA01Q
38664|93792|CA172|CA173|CA01Q
38665|93793|CA172|CA173|CA01Q
38666|93794|CA172|CA173|CA01Q
38667|93844|CA172|CA173|CA01Q
38668|93888|CA172|CA173|CA01Q
38645|93747|CA172|CA173|CA01Q
38646|93750|CA172|CA173|CA01Q
38647|93755|CA172|CA173|CA01Q
38648|93760|CA172|CA173|CA01Q
38649|93761|CA172|CA173|CA01Q
38650|93764|CA172|CA173|CA01Q
38651|93765|CA172|CA173|CA01Q
38618|93707|CA172|CA173|CA01Q
38619|93708|CA172|CA173|CA01Q
38620|93709|CA172|CA173|CA01Q
38621|93710|CA172|CA173|CA01Q
38622|93711|CA172|CA173|CA01Q
38623|93712|CA172|CA173|CA01Q
38624|93714|CA172|CA173|CA01Q
38625|93715|CA172|CA173|CA01Q
38626|93716|CA172|CA173|CA01Q
38627|93717|CA172|CA173|CA01Q
38628|93718|CA172|CA173|CA01Q
38629|93720|CA172|CA173|CA01Q
38630|93721|CA172|CA173|CA01Q
38631|93722|CA172|CA173|CA01Q
38632|93723|CA172|CA173|CA01Q
38633|93724|CA172|CA173|CA01Q
38641|93740|CA172|CA173|CA01Q
38642|93741|CA172|CA173|CA01Q
38643|93744|CA172|CA173|CA01Q
38635|93726|CA172|CA173|CA01Q
38636|93727|CA172|CA173|CA01Q
38637|93728|CA172|CA173|CA01Q
38638|93729|CA172|CA173|CA01Q
38639|93730|CA172|CA173|CA01Q
38603|93664|CA172|CA173|CA01J
38612|93701|CA172|CA173|CA01Q
38613|93702|CA172|CA173|CA01Q
38614|93703|CA172|CA173|CA01Q
38615|93704|CA172|CA173|CA01Q
38616|93705|CA172|CA173|CA01Q
38569|93624|CA01Q|CA173|CA172
38571|93626|CA172|CA173|CA01Q
38577|93634|CA172|CA173|CA01J
38574|93630|CA172|CA173|CA01Q
38585|93642|CA172|CA173|CA01J
38586|93643|CA172|CA173|CA332
38579|93636|CA172|CA173|CA332
38605|93666|CA01J|CA173|CA01Q
38606|93667|CA172|CA173|CA01J
38607|93668|CA172|CA173|CA01Q
38608|93669|CA172|CA173|CA332
38609|93670|CA01J|CA173|CA01Q
38598|93656|CA01Q|CA173|CA172
38599|93657|CA172|CA173|CA01Q
38600|93660|CA172|CA173|CA01Q
38593|93650|CA172|CA173|CA01Q
38594|93651|CA172|CA173|CA01Q
38588|93645|CA172|CA173|CA332
38589|93646|CA01J|CA173|CA172
38590|93647|CA01J|CA173|CA01Q
38564|93619|CA172|CA173|CA01Q
38561|93615|CA01J|CA173|CA01Q
38557|93611|CA172|CA173|CA01Q
38558|93612|CA172|CA173|CA01Q
38559|93613|CA172|CA173|CA01Q
38548|93602|CA172|CA173|CA01J
38549|93603|CA01J|CA173|CA01Q
38551|93605|CA172|CA173|CA01J
38552|93606|CA172|CA173|CA01Q
38553|93607|CA01Q|CA173|CA172
38498|93512|CA172|CA173|CA01J
38499|93513|CA01J|CA173|CA172
38509|93526|CA01J|CA173|CA172
38513|93530|CA01J|CA173|CA01Q
38524|93545|CA01J|CA173|CA01Q
38525|93546|CA172|CA173|CA332
38401|93271|CA01J|CA173|CA01Q
38413|93286|CA01J|CA173|CA01Q
38347|93202|CA01Q|CA173|CA01J
38349|93204|CA01Q|CA173|CA01J
38368|93230|CA01Q|CA173|CA01J
38369|93232|CA01Q|CA173|CA01J
38370|93234|CA01Q|CA173|CA01J
38354|93210|CA01Q|CA173|CA172
38397|93266|CA01Q|CA173|CA01J
38394|93262|CA01J|CA173|CA01Q
38372|93237|CA01J|CA173|CA01Q
38377|93242|CA01Q|CA173|CA01J
38374|93239|CA01Q|CA173|CA01J
38379|93244|CA01J|CA173|CA01Q
38380|93245|CA01Q|CA173|CA01J
38381|93246|CA01Q|CA173|CA01J
38273|92878|CA300|CA197|CA121
38274|92879|CA300|CA197|CA121
38277|92882|CA300|CA197|CA121
38278|92883|CA300|CA197|CA317
38114|92551|CA01U|CA197|CA309
38115|92552|CA01U|CA197|CA309
38116|92553|CA01U|CA197|CA309
38117|92554|CA01U|CA197|CA309
38143|92599|CA01U|CA197|CA134
38260|92860|CA300|CA197|CA121
38006|92313|CA309|CA197|CA01D
38103|92530|CA366|CA197|CA134
38099|92518|CA01U|CA197|CA309
38100|92519|CA121|CA197|CA01D
38094|92509|CA121|CA197|CA01D
37719|91752|CA121|CA197|CA300
38827|94267|CA339|CA232|CA315
39226|95255|CA339|CA232|CA315
39644|95951|CA129|CA232|CA339
39645|95953|CA129|CA232|CA339
39646|95954|CA129|CA232|CA339
39647|95955|CA129|CA232|CA362
39630|95937|CA362|CA232|CA339
39631|95938|CA129|CA232|CA339
39641|95948|CA129|CA232|CA339
39654|95962|CA129|CA232|CA339
39655|95963|CA129|CA232|CA339
39656|95965|CA129|CA232|CA339
39657|95966|CA129|CA232|CA339
39658|95967|CA129|CA232|CA339
39659|95968|CA129|CA232|CA339
39660|95969|CA129|CA232|CA339
39661|95970|CA129|CA232|CA339
39628|95935|CA129|CA232|CA339
39615|95919|CA129|CA232|CA339
39616|95920|CA129|CA232|CA339
39633|95940|CA129|CA232|CA339
39634|95941|CA129|CA232|CA339
39635|95942|CA129|CA232|CA339
39636|95943|CA129|CA232|CA339
39650|95958|CA129|CA232|CA339
39651|95959|NV014|CA232|CA339
39652|95960|NV014|CA232|CA129
39663|95972|CA129|CA232|CA339
39664|95973|CA129|CA232|CA339
39665|95974|CA129|CA232|CA339
39676|95986|NV014|CA232|CA339
39671|95980|CA129|CA232|NV014
39672|95981|CA129|CA232|CA339
39667|95976|CA129|CA232|CA339
39669|95978|CA129|CA232|CA339
39678|95988|CA129|CA232|CA362
39536|95709|CA339|CA232|CA315
39546|95726|CA339|CA232|CA315
39550|95741|CA339|CA232|CA315
39551|95742|CA339|CA232|CA315
39560|95776|CA362|CA232|CA315
39557|95762|CA339|CA232|CA315
39558|95763|CA339|CA232|CA315
39565|95813|CA339|CA232|CA315
39567|95815|CA339|CA232|CA315
39573|95821|CA339|CA232|CA315
39585|95833|CA315|CA232|CA339
39595|95851|CA339|CA232|CA315
39596|95852|CA339|CA232|CA315
39597|95853|CA339|CA232|CA315
39598|95860|CA339|CA232|CA315
39600|95865|CA339|CA232|CA315
39601|95866|CA339|CA232|CA315
39607|95910|NV014|CA232|CA129
39608|95912|CA362|CA232|CA339
39609|95913|CA129|CA232|CA339
39610|95914|CA129|CA232|CA339
39611|95915|CA129|CA232|NV014
39612|95916|CA129|CA232|CA339
39613|95917|CA129|CA232|CA339
39620|95925|CA129|CA232|CA339
39621|95926|CA129|CA232|CA339
39622|95927|CA129|CA232|CA339
39623|95928|CA129|CA232|CA339
39624|95929|CA129|CA232|CA339
39625|95930|CA129|CA232|CA339
39626|95932|CA129|CA232|CA362
39446|95607|CA362|CA232|CA033
39447|95608|CA339|CA232|CA315
39448|95609|CA339|CA232|CA315
39452|95613|CA339|CA232|CA315
39453|95614|CA339|CA232|CA315
39458|95619|CA339|CA232|CA315
39461|95623|CA339|CA232|CA315
39473|95635|CA339|CA232|CA315
39474|95636|CA339|CA232|CA315
39466|95628|CA339|CA232|CA315
39467|95629|CA339|CA232|CA315
39468|95630|CA339|CA232|CA315
39486|95651|CA339|CA232|CA315
39490|95655|CA339|CA232|CA315
39491|95656|CA339|CA232|CA315
39496|95662|CA339|CA232|CA315
39509|95675|CA339|CA232|CA315
39498|95664|CA339|CA232|CA315
39500|95666|CA339|CA232|CA315
39501|95667|CA339|CA232|CA315
39504|95670|CA339|CA232|CA315
39505|95671|CA339|CA232|CA315
39506|95672|CA339|CA232|CA315
39531|95697|CA362|CA232|CA315
39532|95698|CA362|CA232|CA315
39523|95689|CA339|CA232|CA315
39516|95682|CA339|CA232|CA315
39518|95684|CA339|CA232|CA315
25|00029|CA129|CA232|CA339
32|00038|CA129|CA232|CA339
39742|96075|CA129|CA232|CA339
39744|96078|CA129|CA232|CA339
39746|96080|CA129|CA232|CA339
39755|96092|CA129|CA232|CA339
39753|96090|CA129|CA232|CA339
39710|96035|CA129|CA232|CA339
39698|96021|CA129|CA232|CA339
39705|96029|CA129|CA232|CA033
39729|96059|CA129|CA232|CA102
39725|96055|CA129|CA232|CA339
38511|93528|CA01H|CA253|CA391
38507|93523|CA01H|CA253|CA01R
38508|93524|CA01H|CA253|CA01R
38495|93504|CA01H|CA253|CA01R
38496|93505|CA01H|CA253|CA01R
38531|93554|CA01H|CA253|CA391
38532|93555|CA01H|CA253|CA391
38533|93556|CA01H|CA253|CA391
38534|93558|CA01H|CA253|CA391
38543|93591|CA01H|CA253|CA01B
38068|92397|CA01D|CA253|CA01B
37919|92172|CA01C|CA282|CA379
37921|92174|CA01V|CA282|CA389
37917|92170|CA01V|CA282|CA389
37929|92187|CA01V|CA282|CA389
37925|92178|CA01V|CA282|CA389
37876|92118|CA01V|CA282|CA389
37877|92119|CA389|CA282|CA01C
37878|92120|CA389|CA282|CA01V
37863|92105|CA01V|CA282|CA389
37888|92131|CA01C|CA282|CA389
37889|92132|CA01V|CA282|CA389
37890|92134|CA01V|CA282|CA389
37891|92135|CA01V|CA282|CA389
37892|92136|CA01V|CA282|CA389
37845|92075|CA01T|CA282|CA01C
37886|92129|CA01C|CA282|CA379
37906|92155|CA01V|CA282|CA389
37912|92165|CA01V|CA282|CA389
37908|92159|CA389|CA282|CA01C
37909|92160|CA389|CA282|CA01V
37870|92112|CA01V|CA282|CA389
37871|92113|CA01V|CA282|CA389
37859|92101|CA01V|CA282|CA389
37860|92102|CA01V|CA282|CA389
37779|91942|CA389|CA282|CA01V
37780|91943|CA389|CA282|CA01V
37781|91944|CA389|CA282|CA01V
37785|91950|CA01V|CA282|CA389
37786|91951|CA01V|CA282|CA389
37806|92020|CA389|CA282|CA01C
37808|92022|CA389|CA282|CA01C
37774|91932|CA01V|CA282|CA389
37775|91933|CA01V|CA282|CA389
37720|91754|CA01M|CA296|CA01O
37721|91755|CA01M|CA296|CA01L
37706|91735|CA01M|CA296|CA321
37734|91770|CA01M|CA296|CA321
37735|91771|CA01M|CA296|CA321
37736|91772|CA01M|CA296|CA321
37288|90058|CA01O|CA296|CA01L
37281|90051|CA01O|CA296|CA01P
37282|90052|CA01O|CA296|CA01P
37284|90054|CA01O|CA296|CA01P
37260|90030|CA01O|CA296|CA01P
37241|90011|CA01O|CA296|CA01L
37267|90037|CA01O|CA296|CA01L
37290|90060|CA01O|CA296|CA01P
37293|90063|CA01O|CA296|CA01L
37312|90082|CA01O|CA296|CA01L
37324|90099|CA01O|CA296|CA01P
37316|90087|CA01O|CA296|CA01P
37233|90003|CA01O|CA296|CA335
37231|90001|CA01O|CA296|CA01P
37253|90023|CA01O|CA296|CA01L
37337|90223|CA01P|CA296|CA01E
37409|90601|CA01M|CA296|CA321
37410|90602|CA321|CA296|CA01M
37413|90605|CA321|CA296|CA323
37415|90607|CA321|CA296|CA01M
37445|90706|CA323|CA296|CA01E
37446|90707|CA323|CA296|CA01E
37432|90650|CA323|CA296|CA01E
37433|90651|CA323|CA296|CA01E
37434|90652|CA323|CA296|CA01E
37430|90639|CA323|CA296|CA321
37725|91761|CA121|CA300|CA01D
37692|91710|CA121|CA300|CA01B
38095|92513|CA197|CA300|CA121
38090|92505|CA197|CA300|CA121
38088|92503|CA197|CA300|CA121
38276|92881|CA197|CA300|CA121
38272|92877|CA197|CA300|CA121
38710|94021|CA01G|CA304|CA01F
38728|94060|CA01G|CA304|CA01F
38741|94087|CA01G|CA304|CA01F
39064|95001|CA392|CA304|CA01G
39071|95008|CA01G|CA304|CA01F
39072|95009|CA01G|CA304|CA01F
39077|95014|CA01G|CA304|CA01F
39078|95015|CA01G|CA304|CA01F
39066|95003|CA392|CA304|CA01G
39074|95011|CA01G|CA304|CA01F
39087|95030|CA01G|CA304|CA01F
39088|95031|CA01G|CA304|CA01F
39082|95020|CA392|CA304|CA01G
39083|95021|CA392|CA304|CA01G
39117|95070|CA01G|CA304|CA01F
39118|95071|CA01G|CA304|CA01F
39101|95046|CA392|CA304|CA01G
39102|95050|CA01G|CA304|CA01F
39103|95051|CA01G|CA304|CA01F
39104|95052|CA01G|CA304|CA01F
39105|95053|CA01G|CA304|CA01F
39143|95126|CA01G|CA304|CA01F
39128|95110|CA01G|CA304|CA01F
39107|95055|CA01G|CA304|CA01F
39123|95101|CA01G|CA304|CA01F
39145|95128|CA01G|CA304|CA01F
39146|95129|CA01G|CA304|CA01F
39147|95130|CA01G|CA304|CA01F
39148|95131|CA01G|CA304|CA01F
39149|95132|CA01G|CA304|CA01F
39150|95133|CA01G|CA304|CA01F
39134|95117|CA01G|CA304|CA01F
39161|95152|CA01G|CA304|CA01F
39170|95161|CA01G|CA304|CA01F
39168|95159|CA01G|CA304|CA01F
39166|95157|CA01G|CA304|CA01F
39176|95191|CA01G|CA304|CA01F
39179|95194|CA01G|CA304|CA01F
39172|95170|CA01G|CA304|CA01F
39212|95236|CA350|CA307|CA386
39218|95246|CA350|CA307|CA339
39221|95249|CA350|CA307|CA315
39223|95252|CA350|CA307|CA315
39233|95301|CA332|CA307|CA386
39234|95303|CA332|CA307|CA386
39244|95315|CA332|CA307|CA386
39241|95311|CA332|CA307|CA350
39242|95312|CA332|CA307|CA386
39261|95334|CA332|CA307|CA386
39258|95329|CA332|CA307|CA350
39236|95305|CA332|CA307|CA350
39250|95321|CA332|CA307|CA350
39254|95325|CA332|CA307|CA172
39291|95369|CA332|CA307|CA350
39295|95374|CA332|CA307|CA392
39266|95340|CA332|CA307|CA172
39267|95341|CA332|CA307|CA172
39268|95343|CA332|CA307|CA172
39269|95344|CA332|CA307|CA172
39272|95347|CA332|CA307|CA350
39273|95348|CA332|CA307|CA172
39308|95388|CA332|CA307|CA386
38993|94707|CA341|CA308|CA383
38994|94708|CA341|CA308|CA383
38930|94569|CA01I|CA308|CA341
38924|94563|CA341|CA308|CA383
38926|94565|CA331|CA308|CA01I
38922|94561|CA331|CA308|CA386
38915|94553|CA341|CA308|CA01I
38870|94507|CA320|CA308|CA383
38872|94509|CA331|CA308|CA320
38873|94510|CA01I|CA308|CA341
38894|94531|CA331|CA308|CA320
38891|94528|CA320|CA308|CA331
38118|92555|CA01U|CA309|CA197
38119|92556|CA01U|CA309|CA197
38120|92557|CA01U|CA309|CA197
38101|92521|CA197|CA309|CA01U
38102|92522|CA197|CA309|CA121
38091|92506|CA197|CA309|CA01U
38092|92507|CA197|CA309|CA01U
38097|92516|CA197|CA309|CA121
38098|92517|CA197|CA309|CA01U
38075|92405|CA01D|CA309|CA01U
38076|92406|CA01D|CA309|CA01U
38086|92501|CA197|CA309|CA01D
38087|92502|CA197|CA309|CA121
38080|92411|CA01D|CA309|CA121
38069|92398|CA253|CA309|CA01D
38052|92373|CA01U|CA309|CA197
38054|92375|CA01U|CA309|CA01D
38055|92376|CA01D|CA309|CA121
38056|92377|CA01D|CA309|CA121
38046|92365|CA253|CA309|CA01D
38040|92356|CA253|CA309|CA01D
38007|92314|CA253|CA309|CA01U
38023|92333|CA253|CA309|CA01U
38018|92327|CA253|CA309|CA01D
37994|92284|CA340|CA311|CA134
37995|92285|CA340|CA311|CA01U
37996|92286|CA340|CA311|CA134
37990|92280|AZ020|CA311|AZ048
37991|92281|CA372|CA311|AZ048
37992|92282|CA340|CA311|CA134
37957|92240|CA340|CA311|CA134
37958|92241|CA340|CA311|CA134
37952|92233|CA372|CA311|AZ048
37953|92234|CA340|CA311|CA134
37954|92235|CA340|CA311|CA134
37967|92252|CA340|CA311|CA134
37982|92268|CA340|CA311|CA01U
37983|92270|CA340|CA311|CA134
37985|92274|CA372|CA311|CA340
37987|92276|CA340|CA311|CA134
37971|92256|CA340|CA311|CA134
37972|92257|CA372|CA311|AZ048
37973|92258|CA340|CA311|CA134
37977|92262|CA340|CA311|CA134
37978|92263|CA340|CA311|CA134
37979|92264|CA340|CA311|CA134
38796|94204|CA339|CA315|CA232
39227|95257|CA339|CA315|CA232
39228|95258|CA350|CA315|CA386
39224|95253|CA350|CA315|CA386
39225|95254|CA350|CA315|CA339
39209|95232|CA339|CA315|CA350
39213|95237|CA350|CA315|CA386
39214|95240|CA350|CA315|CA386
39215|95241|CA350|CA315|CA386
39216|95242|CA350|CA315|CA386
39202|95225|CA350|CA315|CA339
39203|95226|CA350|CA315|CA339
39204|95227|CA350|CA315|CA339
39197|95220|CA350|CA315|CA339
39519|95685|CA339|CA315|CA232
39520|95686|CA350|CA315|CA331
39517|95683|CA339|CA315|CA232
39533|95699|CA339|CA315|CA232
39529|95695|CA362|CA315|CA232
39499|95665|CA339|CA315|CA232
39503|95669|CA339|CA315|CA232
39488|95653|CA362|CA315|CA232
39489|95654|CA339|CA315|CA350
39480|95642|CA339|CA315|CA350
39451|95612|CA362|CA315|CA339
39465|95627|CA362|CA315|CA232
39478|95640|CA339|CA315|CA350
39459|95620|CA362|CA315|CA331
39455|95616|CA362|CA315|CA232
39456|95617|CA362|CA315|CA232
39457|95618|CA362|CA315|CA232
39440|95601|CA339|CA315|CA232
39599|95864|CA339|CA315|CA232
39579|95827|CA339|CA315|CA232
39577|95825|CA339|CA315|CA232
38144|92602|CA325|CA317|CA377
38173|92650|CA325|CA317|CA01A
38174|92651|CA01A|CA317|CA325
38175|92652|CA01A|CA317|CA325
38176|92653|CA01A|CA317|CA325
38177|92654|CA01A|CA317|CA325
38179|92656|CA01A|CA317|CA325
38180|92657|CA325|CA317|CA01A
38181|92658|CA325|CA317|CA376
38155|92616|CA325|CA317|CA376
38156|92617|CA325|CA317|CA376
38183|92660|CA325|CA317|CA376
38151|92610|CA325|CA317|CA01A
38152|92612|CA325|CA317|CA376
38153|92614|CA325|CA317|CA375
38146|92604|CA325|CA317|CA377
38148|92606|CA325|CA317|CA377
38149|92607|CA01A|CA317|CA325
38158|92619|CA325|CA317|CA01A
38159|92620|CA325|CA317|CA377
38160|92623|CA325|CA317|CA375
38161|92624|CA01A|CA317|CA325
38162|92625|CA325|CA317|CA376
38188|92673|CA01A|CA317|CA325
38166|92629|CA01A|CA317|CA325
38198|92688|CA01A|CA317|CA325
38199|92690|CA01A|CA317|CA325
38201|92692|CA01A|CA317|CA325
38202|92693|CA01A|CA317|CA325
38203|92694|CA01A|CA317|CA325
38204|92697|CA325|CA317|CA376
38205|92698|CA01A|CA317|CA325
38190|92675|CA01A|CA317|CA325
38191|92676|CA325|CA317|CA01A
38192|92677|CA01A|CA317|CA325
38193|92678|CA01A|CA317|CA325
38194|92679|CA01A|CA317|CA325
39310|95391|CA386|CA320|CA350
38914|94552|CA383|CA320|CA01F
38921|94560|CA01F|CA320|CA383
38912|94550|CA386|CA320|CA01F
38908|94546|CA383|CA320|CA01F
38898|94536|CA01F|CA320|CA383
38899|94537|CA01F|CA320|CA383
38900|94538|CA01F|CA320|CA01G
38902|94540|CA383|CA320|CA01F
38903|94541|CA383|CA320|CA01F
38904|94542|CA383|CA320|CA01F
38905|94543|CA383|CA320|CA01F
38906|94544|CA383|CA320|CA01F
38938|94577|CA383|CA320|CA01N
38939|94578|CA383|CA320|CA01F
38940|94579|CA383|CA320|CA01N
38941|94580|CA383|CA320|CA01F
38960|94603|CA383|CA320|CA01N
38962|94605|CA383|CA320|CA01N
38980|94624|CA383|CA320|CA01N
38978|94622|CA383|CA320|CA01N
38245|92835|CA377|CA321|CA375
38239|92823|CA377|CA321|CA300
38279|92885|CA377|CA321|CA325
38280|92886|CA377|CA321|CA300
38270|92870|CA377|CA321|CA375
38271|92871|CA377|CA321|CA375
