 DlrZipToPmaId | ZipCd | DealerCd1 | DealerCd2 | DealerCd3 
14984|35131|AL034|AL022|AL021
14964|35096|AL021|AL022|AL034
15225|35755|AL020|AL022|AL031
15215|35744|AL020|AL022|GA082
15238|35768|AL020|AL022|AL031
15239|35769|AL020|AL022|AL031
15240|35771|AL020|AL022|GA091
15218|35747|AL020|AL022|AL031
15423|36257|AL021|AL022|AL034
15424|36258|AL021|AL022|GA035
15425|36260|AL021|AL022|AL034
15426|36261|AL021|AL022|GA091
15427|36262|AL021|AL022|GA091
15429|36264|AL021|AL022|GA035
15430|36265|AL021|AL022|GA091
15431|36266|AL021|AL022|AL035
15419|36253|AL021|AL022|AL034
15420|36254|AL021|AL022|AL034
15441|36277|AL021|AL022|AL034
15433|36268|AL021|AL022|AL034
15308|35988|GA091|AL022|GA082
15285|35959|GA091|AL022|AL021
15296|35973|GA091|AL022|GA063
15292|35967|GA091|AL022|GA082
15293|35968|GA091|AL022|GA082
15410|36201|AL021|AL022|AL034
15411|36202|AL021|AL022|AL034
15412|36203|AL021|AL022|AL034
15413|36204|AL021|AL022|AL034
15414|36205|AL021|AL022|AL034
15415|36206|AL021|AL022|AL034
15416|36207|AL021|AL022|AL034
15417|36250|AL021|AL022|AL034
15345|36046|AL036|AL025|AL035
15346|36047|AL036|AL025|AL035
15341|36041|AL036|AL025|AL035
15342|36042|AL036|AL025|AL035
15355|36062|AL036|AL025|AL008
15336|36036|AL036|AL025|AL035
15337|36037|AL036|AL025|AL008
15332|36032|AL036|AL025|AL035
15333|36033|AL036|AL025|AL008
15318|36015|AL036|AL025|AL008
15330|36030|AL036|AL025|AL009
15452|36312|AL008|AL025|GA081
15445|36301|AL008|AL025|FL150
15446|36302|AL008|AL025|FL150
15447|36303|AL008|AL025|FL150
15448|36304|AL008|AL025|FL150
15449|36305|AL008|AL025|FL150
15450|36310|AL008|AL025|GA081
15473|36352|AL008|AL025|FL150
15474|36353|AL008|AL025|GA081
15482|36375|AL008|AL025|FL150
15483|36376|AL008|AL025|GA081
15478|36370|AL008|AL025|FL128
15479|36371|AL008|AL025|FL150
15480|36373|AL008|AL025|GA081
15470|36349|AL008|AL025|FL150
15471|36350|AL008|AL025|FL150
15468|36345|AL008|AL025|GA081
15466|36343|AL008|AL025|FL128
15458|36319|AL008|AL025|GA081
15459|36320|AL008|AL025|FL150
15460|36321|AL008|AL025|GA081
15456|36317|AL008|AL025|AL035
15521|36483|FL087|AL025|FL080
15655|36768|AL036|AL025|AL009
15644|36753|AL036|AL025|AL027
15653|36766|AL036|AL025|AL009
15635|36741|AL036|AL025|AL009
17055|39861|AL008|AL025|FL128
17051|39851|AL008|AL025|GA081
17042|39832|AL008|AL025|GA081
13654|32443|AL008|AL025|FL128
13652|32440|AL008|AL025|FL150
13661|32452|AL008|AL025|FL150
13656|32445|AL008|AL025|FL128
13657|32446|AL008|AL025|FL150
13646|32433|FL087|AL025|FL150
13647|32434|FL087|AL025|FL150
13648|32435|FL087|AL025|FL150
13636|32422|FL087|AL025|FL150
13637|32423|AL008|AL025|FL128
13639|32425|AL008|AL025|FL150
13640|32426|AL008|AL025|FL150
13681|32509|FL080|AL027|FL087
13682|32511|FL080|AL027|FL087
13683|32512|FL080|AL027|FL087
13686|32516|FL080|AL027|FL087
13678|32506|FL080|AL027|FL087
13679|32507|FL080|AL027|FL087
13692|32526|FL080|AL027|FL087
13695|32533|FL080|AL027|FL087
13696|32534|FL080|AL027|FL087
13697|32535|FL080|AL027|AL029
13710|32559|FL080|AL027|FL087
13711|32560|FL080|AL027|FL087
13716|32565|FL080|AL027|FL087
13719|32568|FL080|AL027|AL029
13724|32577|FL080|AL027|FL087
15561|36556|AL029|AL027|FL080
15642|36751|MS045|AL027|AL036
15574|36575|AL029|AL027|MS029
15580|36581|AL029|AL027|FL080
15581|36582|AL029|AL027|MS029
15582|36583|AL029|AL027|MS029
15583|36584|AL029|AL027|MS029
15584|36585|AL029|AL027|MS045
15585|36587|AL029|AL027|MS029
15586|36590|AL029|AL027|MS029
15587|36601|AL029|AL027|MS029
15588|36602|AL029|AL027|MS029
15589|36603|AL029|AL027|MS029
15590|36604|AL029|AL027|MS029
15591|36605|AL029|AL027|MS029
15592|36606|AL029|AL027|MS029
15593|36607|AL029|AL027|MS029
15594|36608|AL029|AL027|MS029
15595|36609|AL029|AL027|MS029
15596|36610|AL029|AL027|MS029
15597|36611|AL029|AL027|MS029
15598|36612|AL029|AL027|MS029
15599|36613|AL029|AL027|MS029
15600|36615|AL029|AL027|MS029
15601|36616|AL029|AL027|MS029
15602|36617|AL029|AL027|MS029
15603|36618|AL029|AL027|MS029
15604|36619|AL029|AL027|MS029
15605|36628|AL029|AL027|MS029
15606|36633|AL029|AL027|MS029
15607|36640|AL029|AL027|MS029
15608|36641|AL029|AL027|MS029
15609|36644|AL029|AL027|MS029
15610|36652|AL029|AL027|MS029
15611|36660|AL029|AL027|MS029
15612|36663|AL029|AL027|MS029
15613|36670|AL029|AL027|MS029
15614|36671|AL029|AL027|MS029
15615|36675|AL029|AL027|MS029
15616|36685|AL029|AL027|MS029
15617|36688|AL029|AL027|MS029
15618|36689|AL029|AL027|MS029
15619|36691|AL029|AL027|MS029
15620|36693|AL029|AL027|MS029
15621|36695|AL029|AL027|MS029
15525|36505|AL029|AL027|MS029
15519|36481|AL036|AL027|MS045
15513|36473|FL080|AL027|FL087
15515|36475|FL080|AL027|FL087
15503|36454|FL080|AL027|FL087
15493|36436|MS045|AL027|AL029
15495|36441|FL080|AL027|FL087
15499|36446|MS045|AL027|AL029
